"Tabela 1.3.8.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.8.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Não possuíam,1.6,3.1,2.7,3.2,4.6,5.1,Não possuíam,1.4,2.7,2.4,3,4.2,4.7
Rede pública,0.8,1.6,1.4,1.6,2.3,2.2,Rede pública,0,0,0,0,0,0
Possuíam,1,2.4,1.8,1.7,2.4,2.3,Possuíam,0.6,2,1.3,0.8,1.1,1.3
Não possuíam,1.7,3.2,2.8,3.4,4.8,5.5,Não possuíam,1.4,2.5,2.2,2.9,4,4.6
Rede privada,1.4,3.8,2.9,2.3,3.3,3.4,Rede privada,0,0,0,0,0,0
Possuíam,1.5,4,3.1,2.4,3.4,3.4,Possuíam,0.3,0.9,0.7,0.4,0.5,0.5
Não possuíam,5.2,11.2,8,9.8,17.7,16.2,Não possuíam,5.1,10.8,7.8,9.7,17.5,15.6
Não estudantes,0.2,0.6,0.4,0.3,0.5,0.6,Não estudantes,0,0,0,0,0,0
Possuíam,0.3,1.1,0.8,0.5,0.7,0.8,Possuíam,0.3,0.9,0.7,0.3,0.6,0.5
Não possuíam,1,2.4,1.8,1.6,2.9,3.9,Não possuíam,1,2.4,1.8,1.6,2.8,3.8
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
