"Tabela 1.3.21.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.21.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.3.21.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Rio Grande do Norte,2.1,7.1,5,7.1,5.7,4.4,5.4,4.9,7.5,Rio Grande do Norte,0,6.7,5.2,6.4,5.5,3.9,4.6,4.9,6.8,Rio Grande do Norte,1.9,4.6,2.7,3.5,2.8,2.2,2.4,2.4,4.7
Paraíba,1.8,4.1,3.4,3.8,5,3.4,3.9,6.4,6.9,Paraíba,0,4.1,3.5,4.3,5.3,3.2,3.2,5.6,5.5,Paraíba,1.6,4.2,2.1,1.8,1.5,1.2,2.1,2.5,4.8
Pernambuco,1.5,3.4,2.4,2.9,3.4,2.4,3.2,4.3,3.8,Pernambuco,0,3.4,2.8,2.7,3.1,2.2,2.2,3.3,3.6,Pernambuco,1.5,3.7,1.6,1.4,1.7,1.8,1.4,2,2.1
Região Metropolitana de Recife,0.7,3.8,3.2,3.3,3.5,2.1,2.4,2.9,3.5,Região Metropolitana de Recife,0,3.7,3.2,3.3,3.5,2.2,2.3,2.7,3.2,Região Metropolitana de Recife,0.6,2.6,1,0.8,0.9,0.6,0.7,1.1,2.1
Alagoas,2.7,7.5,7.3,6.1,5.8,3.6,4.7,6.9,8.4,Alagoas,0,7.2,6.1,5.1,6.1,3.7,4,5.7,7.6,Alagoas,2.8,7.1,5.7,3.3,2,2.5,3.3,4.1,5.5
Sergipe,1.2,5.4,3.6,4.9,3.8,4.2,3.9,5.2,6.9,Sergipe,0,5.2,3.9,4.8,3.8,3.8,3.7,5.1,6.7,Sergipe,1.1,4.7,2.3,1.6,1.9,1.7,2.2,2.6,3.6
Bahia,1.2,3.7,2.5,2.9,2.7,2,2,3,3.5,Bahia,0,3.3,2.3,2.6,2.6,1.7,1.7,2.5,3.1,Bahia,1.2,3.2,1.7,1.4,1.6,1.1,1.3,1.9,2.6
Região Metropolitana de Salvador,0.7,4.6,3.3,3.4,3.3,2.1,2.5,2.9,4.7,Região Metropolitana de Salvador,0,4.5,3.4,3.4,3.3,2.1,2.4,2.8,4.4,Região Metropolitana de Salvador,0.6,3,1.3,0.8,0.7,0.5,0.7,1,2.3
Sudeste,0.3,1.7,1.3,1.4,1.4,0.9,1,1.2,1.6,Sudeste,0,1.7,1.3,1.3,1.4,0.9,0.9,1.1,1.5,Sudeste,0.3,1.1,0.5,0.3,0.4,0.3,0.4,0.5,0.9
Minas Gerais,0.8,2.9,2.1,2.5,2.6,1.8,1.9,2.1,2.7,Minas Gerais,0,2.7,2,2.4,2.6,1.7,1.6,1.9,2.6,Minas Gerais,0.7,2.4,1.1,0.7,0.9,0.8,1,1.1,1.7
Região Metropolitana de Belo Horizonte,0.7,3.9,3,3.4,3.4,2.4,2.7,3,4,Região Metropolitana de Belo Horizonte,0,3.9,3,3.4,3.5,2.5,2.6,2.8,3.8,Região Metropolitana de Belo Horizonte,0.6,2.8,1,0.8,0.8,0.5,0.6,1.1,2.1
Espírito Santo,1.6,7.3,5.1,5.2,4.2,3.6,3.8,4.1,5,Espírito Santo,0,6.6,4.6,5,4.3,3.4,3.2,4,4.9,Espírito Santo,1.5,5.8,2.3,1.4,1.4,1.4,1.9,2.1,2.4
Rio de Janeiro,0.6,3.2,2.4,2.5,2.6,1.7,2,2.2,2.9,Rio de Janeiro,0,3.1,2.4,2.5,2.7,1.7,1.9,2.1,2.6,Rio de Janeiro,0.5,2.3,0.8,0.6,0.7,0.5,0.6,0.9,1.6
Região Metropolitana do Rio de Janeiro,0.7,3.9,2.9,2.9,3.1,1.8,2.3,2.6,3.4,Região Metropolitana do Rio de Janeiro,0,3.9,3,2.9,3.1,1.8,2.2,2.4,3.1,Região Metropolitana do Rio de Janeiro,0.6,2.7,0.9,0.7,0.7,0.5,0.7,1,1.9
São Paulo,0.5,2.7,2,2.1,2.1,1.3,1.4,1.8,2.6,São Paulo,0,2.6,2,2.1,2,1.3,1.4,1.7,2.5,São Paulo,0.4,1.5,0.7,0.5,0.5,0.4,0.5,0.7,1.4
Região Metropolitana de São Paulo,0.6,3.6,2.7,3,3,1.9,1.9,2.6,3.5,Região Metropolitana de São Paulo,0,3.6,2.8,3,3,1.9,1.9,2.4,3.3,Região Metropolitana de São Paulo,0.5,2.3,1,0.7,0.6,0.4,0.7,0.9,1.9
Sul,0.5,2.2,1.9,2,1.9,1.4,1.5,1.7,1.9,Sul,0,2.1,1.8,1.9,1.8,1.3,1.5,1.5,1.8,Sul,0.5,1.8,0.6,0.5,0.5,0.5,0.6,0.7,1.3
Paraná,0.9,3.7,3.3,3.1,3,2.5,2.5,2.7,3.4,Paraná,0,3.6,3.2,3,2.8,2.3,2.3,2.4,3.4,Paraná,0.8,2.9,1.2,0.9,0.9,0.8,1,1.4,1.9
Região Metropolitana de Curitiba,0.9,5.9,4.3,5,5,3.2,3.3,3.9,5.3,Região Metropolitana de Curitiba,0,5.8,4.3,5,5,3.2,3.1,3.7,5.1,Região Metropolitana de Curitiba,0.8,4.4,1.5,0.9,0.9,0.9,1.1,1.5,3
Santa Catarina,1.1,5.3,4,4.3,3.8,2.7,2.9,3.8,4.5,Santa Catarina,0,4.9,3.8,4,3.9,2.7,2.9,3.4,4.1,Santa Catarina,1,4.3,1.2,1,1.1,1,1.3,1.8,3.3
Rio Grande do Sul,0.7,3.2,2.7,3.2,3,2.1,2.6,2.5,2.5,Rio Grande do Sul,0,3.2,2.7,3.1,2.9,1.9,2.5,2.4,2.4,Rio Grande do Sul,0.7,2.5,0.9,0.9,0.7,0.7,0.7,0.9,1.9
Região Metropolitana de Porto Alegre,0.6,3.5,3,3.1,3.2,2.3,2.2,2.4,3.2,Região Metropolitana de Porto Alegre,0,3.5,3,3.1,3.1,2.3,2.1,2.2,3,Região Metropolitana de Porto Alegre,0.5,2.3,1.1,0.6,0.6,0.5,0.6,0.8,1.3
Centro-Oeste,0.5,2.3,2,2.1,2.1,1.5,1.6,2,2.5,Centro-Oeste,0,2.3,1.9,2,2.1,1.5,1.4,1.9,2.3,Centro-Oeste,0.5,1.7,0.6,0.6,0.4,0.4,0.5,0.7,1.3
Mato Grosso do Sul,1.2,5.7,4.3,4.1,5.8,4.8,3.6,4.8,5.8,Mato Grosso do Sul,0,5.6,3.9,4,5.4,5.1,3.3,4.4,5.6,Mato Grosso do Sul,1.1,3.9,1.7,0.9,0.9,1.2,1.6,2.3,3.2
Mato Grosso,1.6,6.3,4.5,5,4.1,3.5,3.6,4.5,6.9,Mato Grosso,0,6.1,4,5.2,3.7,3.4,3,4.2,6.3,Mato Grosso,1.4,4.1,1.6,2,1.2,1.4,1.6,1.7,4.2
Goiás,0.8,3.4,3.2,3.4,3.6,2.1,2.5,3.2,3.4,Goiás,0,3.4,3.1,3.2,3.6,2.1,2.3,3.1,3.1,Goiás,0.7,2.8,0.9,0.8,0.7,0.6,0.7,0.9,1.9
Distrito Federal,0.8,4.6,3.9,4.1,4,3,3.1,4,5.4,Distrito Federal,0,4.6,3.9,4,4,3.1,2.9,3.6,5.2,Distrito Federal,0.6,3.3,0.9,0.9,0.5,0.5,0.6,0.9,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
