"Tabela 1.3.14.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.14.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Outros serviços coletivos, sociais e pessoais",1.5,4.1,3,2.3,3.6,4.3,"Outros serviços coletivos, sociais e pessoais",1.4,3.9,2.9,2.2,3.5,4.1
Outras atividades,1.2,3.5,2.4,1.8,2.7,3.1,Outras atividades,1.1,3.3,2.2,1.7,2.5,2.9
Atividades maldefinidas,12.4,29.7,17.9,21.2,35.6,58.2,Atividades maldefinidas,12.4,29.7,17.9,21.2,35.5,58.2
Não possuíam,1.5,3.3,2.4,2.8,4.2,5.8,Não possuíam,0,0,0,0,0,0
Agrícola,2.6,5.3,3.6,7.4,7.9,8.7,Agrícola,1.5,3.2,1.8,5.4,4.7,5
Indústria,3.8,12.8,7.3,5.5,8.1,13.6,Indústria,3.7,12.2,7,5.6,7.5,12.6
Indústria de transformação,3.8,13.9,7.3,5.6,8.2,13.7,Indústria de transformação,3.7,13.3,7.1,5.7,7.6,13
Construção,2.6,7.3,4.1,4.6,7.2,9.2,Construção,2.6,7.3,4.4,4.5,6.9,7.9
Comércio e reparação,2.7,6.3,4.2,5.2,7.5,10.6,Comércio e reparação,2.8,6.5,4.5,5.2,7.8,9.6
Alojamento e alimentação,4.5,10.1,7.4,8.4,13.1,14.9,Alojamento e alimentação,4.6,10.3,7.6,8.3,13.6,15.4
"Transporte, armazenagem e comunicação",5.1,12,8.5,8.8,14.6,24,"Transporte, armazenagem e comunicação",5.1,12.2,8.4,8.8,14.9,22
Administração pública,6.2,10.5,10.6,12,18.7,21.5,Administração pública,6.2,10.2,10.4,12.1,18.5,20.4
"Educação, saúde e serviços sociais",4.8,13,8.1,8.1,12.7,16.5,"Educação, saúde e serviços sociais",4.5,12.4,7.5,7.8,13.1,16.2
Serviços domésticos,3.1,6.2,5,5.5,9,10.3,Serviços domésticos,3.2,6.5,5.5,5.2,9.6,8.7
"Outros serviços coletivos, sociais e pessoais",6,14.5,10.6,9.9,16.6,21.6,"Outros serviços coletivos, sociais e pessoais",6.1,14.2,10.8,10.1,16.6,21.4
Outras atividades,6.2,15.4,12.5,8.8,14.8,19.5,Outras atividades,6.2,15.2,12.6,8.7,14.6,19.9
Atividades maldefinidas,22.9,47.8,56.2,32.4,-,58.2,Atividades maldefinidas,22.9,47.9,56.3,32.4,-,58.5
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
