"Tabela 1.1.17.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.17.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Transporte, armazenagem e comunicação",1.3,3.4,2.7,2,3,3.3,"Transporte, armazenagem e comunicação",1.3,3.5,2.6,2,3,3.3
Administração pública,1.5,3.3,2.7,2.9,3.7,3.7,Administração pública,1.5,3.3,2.8,2.8,3.6,3.6
"Educação, saúde e serviços sociais",1,2.8,2,1.7,2.5,2.8,"Educação, saúde e serviços sociais",1,2.9,1.9,1.7,2.4,2.7
Serviços domésticos,1.3,3.2,2.6,2.2,3.5,3.2,Serviços domésticos,1.3,3.3,2.5,2.2,3.6,3.2
"Outros serviços coletivos, sociais e pessoais",1.4,3.9,2.9,2.2,3.6,4.2,"Outros serviços coletivos, sociais e pessoais",1.4,3.9,2.9,2.2,3.5,4.1
Outras atividades,1.2,3.4,2.4,1.7,2.6,3.1,Outras atividades,1.1,3.4,2.3,1.7,2.6,2.9
Atividades maldefinidas,11,25.9,17.7,18.2,35.6,40.5,Atividades maldefinidas,11,25.8,17.8,18.2,35.6,40.6
Utilizaram,0.5,1.6,1.3,0.7,1.3,1.5,Utilizaram,0,0,0,0,0,0
Agrícola,3.5,7.3,5.8,8,7,6.1,Agrícola,3.6,7.2,5.8,8.1,7.2,6.1
Indústria,1.4,4.2,3.3,2.1,3.2,4.1,Indústria,1.3,3.9,2.9,1.9,3,3.8
Indústria de transformação,1.5,4.4,3.5,2.2,3.3,4.3,Indústria de transformação,1.4,4.2,3.1,2,3.1,3.9
Construção,1.6,4.2,3.1,2.5,4.1,3.7,Construção,1.5,3.9,3,2.4,3.9,3.6
Comércio e reparação,1,2.8,2.1,1.7,2.4,2.7,Comércio e reparação,0.9,2.1,1.5,1.5,1.9,2.1
Alojamento e alimentação,2,4.4,3.4,3.2,5.9,4.3,Alojamento e alimentação,1.9,4.2,3.2,3,5.7,4.2
"Transporte, armazenagem e comunicação",1.6,4.6,3.5,2.4,3.6,4.1,"Transporte, armazenagem e comunicação",1.5,4.2,3.2,2.3,3.5,3.9
Administração pública,1.7,3.9,3.3,3.2,4,4.1,Administração pública,1.6,3.5,3,3.1,3.8,3.8
"Educação, saúde e serviços sociais",1.2,2.9,2.2,1.9,2.7,3,"Educação, saúde e serviços sociais",1,2.5,1.8,1.7,2.2,2.6
Serviços domésticos,1.9,4.8,3.6,3.1,4.8,4.7,Serviços domésticos,1.9,4.7,3.6,3.1,4.9,4.6
"Outros serviços coletivos, sociais e pessoais",1.6,4.6,3.5,2.4,4,4.5,"Outros serviços coletivos, sociais e pessoais",1.5,4.4,3.3,2.3,3.7,4.2
Outras atividades,1.3,3.9,2.7,1.9,2.9,3.3,Outras atividades,1.1,3.6,2.3,1.7,2.5,2.9
Atividades maldefinidas,16.2,34.4,29.7,22.5,57,68.1,Atividades maldefinidas,16.2,34.5,29.7,22.5,57,68.2
Não utilizaram,0.8,1.6,1.3,1.6,2.2,2.6,Não utilizaram,0,0,0,0,0,0
Agrícola,2.2,4.5,3.1,5.9,6.7,6.8,Agrícola,1.7,3.5,2.2,4.9,5,5.1
Indústria,2.1,7.9,4.9,3.2,4.2,6.8,Indústria,2.1,7.6,4.8,3.4,4.1,6.4
Indústria de transformação,2.2,8.7,5,3.3,4.2,6.8,Indústria de transformação,2.2,8.4,4.9,3.4,4.1,6.5
Construção,1.4,3.6,2.6,2.6,3.4,4,Construção,1.5,3.8,2.8,2.5,3.9,4.3
Comércio e reparação,1.4,3,2.4,2.7,3.5,3.9,Comércio e reparação,1.5,3.4,2.7,2.7,3.9,4.1
Alojamento e alimentação,2.3,5.6,3.6,4.3,6.8,7,Alojamento e alimentação,2.3,5.7,3.8,4.2,7,6.8
"Transporte, armazenagem e comunicação",2,5.3,3.8,3.6,5.2,5.3,"Transporte, armazenagem e comunicação",2.1,5.5,3.8,3.7,5.6,5.8
Administração pública,3.1,6.2,5.3,5.8,9,10.7,Administração pública,3,6.3,5.2,5.6,9.1,9.9
"Educação, saúde e serviços sociais",2.6,6.6,4.4,4.9,6.7,7.7,"Educação, saúde e serviços sociais",2.6,6.7,4.4,4.7,6.9,7.4
Serviços domésticos,1.6,3.9,3,2.7,4.2,4.5,Serviços domésticos,1.7,4.1,3.2,2.7,4.8,4
"Outros serviços coletivos, sociais e pessoais",3.1,7.6,5.2,5.5,8.9,8.7,"Outros serviços coletivos, sociais e pessoais",3.2,7.7,5.4,5.6,8.9,8.8
Outras atividades,2.7,7.1,4.9,4.4,6.7,7.8,Outras atividades,2.8,7,5,4.5,6.8,7.9
Atividades maldefinidas,13.8,31,20.9,26.7,46.6,50.5,Atividades maldefinidas,13.8,30.9,21,26.6,46.6,50.2
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
