"Tabela 1.3.28.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.28.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.3.28.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Pará,1.6,2.3,4.2,3.6,2,4.3,5.5,7.1,14,Pará,1.4,2.2,2.6,2.6,1.7,2.5,2.1,1.9,2.5,Pará,0,1.3,4,3.4,1.6,4,5.2,6.7,13.9
Região Metropolitana de Belém,0.9,1.9,4.7,4.8,2.1,4.6,6.5,9,17.2,Região Metropolitana de Belém,0.7,1.3,2,1.6,1.1,1.1,1,1,1.3,Região Metropolitana de Belém,0,1.8,4.9,4.7,2.1,4.4,6.2,8.7,16.9
Amapá,5.5,7.4,8.4,10.3,7.2,9.4,13.6,18.7,29.2,Amapá,4.7,5.9,11.4,12,3.4,3.6,1.7,3.9,0,Amapá,0,4.2,8.9,11,5.7,6.7,11.1,16.2,27.9
Tocantins,2.4,3.1,5,7.7,3.7,6.5,12.5,10.7,30.5,Tocantins,2.4,3.1,2.9,4,2.9,2.5,1.9,1.2,3.3,Tocantins,0,2.5,5.3,7.1,3.1,5.4,11.5,10.3,30
Nordeste,0.7,1,1.8,1.8,1.1,1.9,3,4.4,7,Nordeste,0.7,1,1.2,1.2,0.7,0.8,0.5,0.5,0.8,Nordeste,0,0.8,1.9,1.7,0.8,1.6,2.7,4.2,6.9
Maranhão,3.9,5.3,4.7,5.5,6.5,8.6,13,13.2,31.2,Maranhão,3.7,5.3,3.9,4.3,4,4.5,3.1,1.8,5.6,Maranhão,0,3.5,5.3,5.6,4.1,6.9,11.2,12.7,31.2
Piauí,3.8,4.8,9.6,6.8,3.7,8.6,14,17.5,28.5,Piauí,3.7,4.7,7.1,5.4,3,2.2,1.9,2.7,0,Piauí,0,3,8.1,5.4,3.3,7,13.6,16.5,27.6
Ceará,1.8,3.1,4.1,5,2.5,4,7.8,10.5,15.5,Ceará,1.6,2.3,2.8,2.7,1.7,2.3,1.3,1.3,0.8,Ceará,0,2.4,4.2,4.9,1.8,3.4,7.3,10.1,15.2
Região Metropolitana de Fortaleza,0.9,2.1,4.8,5.1,1.9,4.1,7,9.7,16.2,Região Metropolitana de Fortaleza,0.8,1.4,2.1,1.8,1,1.3,0.9,1.3,1,Região Metropolitana de Fortaleza,0,1.8,5.1,5.1,1.8,3.9,6.6,9.4,16.1
Rio Grande do Norte,2.1,3,7.5,8.2,4.3,7.2,9.8,13.6,26.4,Rio Grande do Norte,1.9,2.1,3.3,5.8,2.2,2.1,1.1,1.7,3.3,Rio Grande do Norte,0,2.1,8.5,7.6,3.5,6.8,8.8,13.4,26.1
Paraíba,1.8,3.1,6.4,6.1,3.9,9.1,12.3,21.6,25.1,Paraíba,1.6,2.7,1.6,2.2,2,2.6,1.4,1.3,0,Paraíba,0,2.3,7.8,6.4,3.4,7.7,11.3,20.9,24.5
Pernambuco,1.5,2,3.7,4.2,2.1,3.6,5.9,12,13.7,Pernambuco,1.5,1.9,2.8,2.5,1.4,1.4,1.1,1.4,0.8,Pernambuco,0,1.4,3.8,4,1.6,3.1,5.3,11.4,13.4
Região Metropolitana de Recife,0.7,1.6,4,4.6,1.7,4,5.9,9,14.9,Região Metropolitana de Recife,0.6,1,1.6,1.2,0.9,1,1.2,1.2,1.1,Região Metropolitana de Recife,0,1.4,4.2,4.7,1.8,3.7,5.6,8.7,14.7
Alagoas,2.7,4.2,7.1,5.9,4.1,8.7,12.8,19.4,39,Alagoas,2.8,3.8,3.6,5,3.5,2.5,2,2.2,6,Alagoas,0,2.9,6.9,5.4,3.1,8.5,12.2,19.1,39
Sergipe,1.2,2.8,5.1,5.6,3.4,6.2,8.6,14.1,24.7,Sergipe,1.1,2.1,2.1,3.1,1.6,2.1,1.9,3.3,0,Sergipe,0,2.6,5.6,5.7,3,5.5,8.4,13.7,24.5
Bahia,1.2,1.8,4,3.4,2.1,3.2,5.4,7.6,12.5,Bahia,1.2,1.7,2.4,2.4,1.2,1.4,0.8,0.8,1.6,Bahia,0,1.4,4.1,3.2,1.5,3,5.1,7.2,12.2
Região Metropolitana de Salvador,0.7,2.2,4.9,4.2,2.2,3.9,6.5,9.4,15.1,Região Metropolitana de Salvador,0.6,1.1,1.6,1.4,0.7,0.9,0.8,0.6,0.8,Região Metropolitana de Salvador,0,2.1,5.1,4.4,2.3,3.7,6.2,9.1,14.9
Sudeste,0.3,0.8,2.5,2.5,0.9,1.1,1.6,2.6,4.7,Sudeste,0.3,0.5,1.2,1,0.4,0.4,0.4,0.3,0.4,Sudeste,0,0.7,2.6,2.5,0.9,1.1,1.5,2.5,4.7
Minas Gerais,0.8,1.6,4.1,4.6,1.5,2.4,3.1,4.3,8,Minas Gerais,0.7,1.2,2.5,1.9,0.9,0.9,0.7,0.7,0.8,Minas Gerais,0,1.2,4.3,4.7,1.4,2.2,2.9,4.1,7.8
Região Metropolitana de Belo Horizonte,0.7,1.7,6.7,5.8,2.2,3,4.2,6.6,12.6,Região Metropolitana de Belo Horizonte,0.6,1.1,2.6,1.8,0.8,0.8,0.8,0.7,0.9,Região Metropolitana de Belo Horizonte,0,1.6,6.9,5.9,2.3,2.9,3.9,6.3,12.4
Espírito Santo,1.6,3,7.8,7.9,2.8,5.3,6.9,10.8,14,Espírito Santo,1.5,2.6,3.2,5,1.8,1.3,1.3,1.1,1.7,Espírito Santo,0,2.4,8,7.7,2.8,4.9,6.4,10.5,14
Rio de Janeiro,0.6,1.4,5.3,4.5,1.7,2.3,3.4,5.5,9.1,Rio de Janeiro,0.5,0.8,2.2,2,0.8,0.7,0.7,0.7,0.7,Rio de Janeiro,0,1.3,5.5,4.6,1.8,2.1,3.2,5.3,8.9
Região Metropolitana do Rio de Janeiro,0.7,1.7,6.4,5.4,2.2,2.6,3.9,6.3,10.2,Região Metropolitana do Rio de Janeiro,0.6,0.9,2.6,2.1,0.9,0.8,0.8,0.8,0.7,Região Metropolitana do Rio de Janeiro,0,1.6,6.6,5.5,2.3,2.5,3.8,6.1,10
São Paulo,0.5,1.2,4.4,4,1.4,1.6,2.2,3.8,7.2,São Paulo,0.4,0.7,1.6,1.4,0.7,0.5,0.6,0.5,0.6,São Paulo,0,1.1,4.5,4,1.4,1.5,2.1,3.7,7.1
Região Metropolitana de São Paulo,0.6,1.5,6.4,5.9,2.2,2.3,3.4,5.4,9.4,Região Metropolitana de São Paulo,0.5,0.8,2.5,2.4,0.9,0.7,0.8,0.6,0.7,Região Metropolitana de São Paulo,0,1.4,6.6,5.9,2.3,2.3,3.2,5.2,9.3
Sul,0.5,1.2,4.4,3,1.2,1.6,2.2,3,5.6,Sul,0.5,0.8,2.1,1.2,0.7,0.6,0.5,0.5,0.6,Sul,0,1.1,4.5,3,1.1,1.4,2,2.9,5.5
Paraná,0.9,1.8,7.6,5,2.1,2.5,3.8,5.2,10.2,Paraná,0.8,1.4,3,2.1,1.1,0.8,0.6,0.6,0.7,Paraná,0,1.7,7.9,5,2,2.2,3.3,4.9,10
Região Metropolitana de Curitiba,0.9,2.7,10.6,8.6,3.4,3.6,5.1,6.9,13,Região Metropolitana de Curitiba,0.8,1.8,5.1,3.4,1.3,1.2,0.8,0.8,1.3,Região Metropolitana de Curitiba,0,2.5,10.9,8.7,3.6,3.5,4.8,6.6,12.8
Santa Catarina,1.1,3.3,13.1,7.1,2.9,3.1,4,6.6,12.5,Santa Catarina,1,1.9,7.1,3.1,1.7,1.4,1.1,1.1,2,Santa Catarina,0,2.9,13,7,2.7,3,4,6.5,12.4
Rio Grande do Sul,0.7,1.5,5.8,4.4,1.6,2.6,3.5,4.4,7.2,Rio Grande do Sul,0.7,1.1,3.1,1.7,0.9,1,0.8,0.8,0.8,Rio Grande do Sul,0,1.5,5.9,4.4,1.6,2.3,3.3,4.2,7.1
Região Metropolitana de Porto Alegre,0.6,1.8,6.3,5.3,1.9,2.3,3.3,5.1,9,Região Metropolitana de Porto Alegre,0.5,1,2.1,1.9,0.7,0.6,0.6,0.6,0.9,Região Metropolitana de Porto Alegre,0,1.7,6.5,5.3,2,2.2,3.1,4.9,8.8
Centro-Oeste,0.5,1.1,3.9,3.6,1.4,1.9,2.7,3.7,7.1,Centro-Oeste,0.5,0.7,1.6,1.2,0.7,0.6,0.5,0.3,0.4,Centro-Oeste,0,1,4,3.6,1.4,1.8,2.5,3.5,7
Mato Grosso do Sul,1.2,2.9,7.2,8,2.9,3.8,6.5,8,17.6,Mato Grosso do Sul,1.1,1.8,4.5,2.9,1.5,1.2,0.9,0.6,0.8,Mato Grosso do Sul,0,2.8,7.5,7.9,2.9,4,5.7,7.7,17.1
Mato Grosso,1.6,3,8.2,8.9,3.4,4.5,6.7,8.7,17.9,Mato Grosso,1.4,1.9,4,3,1.9,1.6,1.1,0.8,0.9,Mato Grosso,0,2.3,8.9,9.1,3.5,4,6.2,8.2,17.4
Goiás,0.8,1.6,6.2,5.3,2,3.1,4.1,7.1,12.3,Goiás,0.7,1.2,1.9,1.7,0.9,0.9,0.8,0.7,1,Goiás,0,1.6,6.3,5.2,1.9,2.8,3.9,7,12.3
Distrito Federal,0.8,2,9.7,8,4.1,4.1,5.2,6.1,10.6,Distrito Federal,0.6,1.1,3,1.9,1.1,0.9,0.8,0.5,0.5,Distrito Federal,0,2.1,10,8.1,4.4,4.1,5,5.7,10.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,,(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,,(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,
