"Tabela 1.1.3.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
15 a 17 anos,3.2,5,4.9,7.6,10.7,12.4,15 a 17 anos,3,4.8,4.6,7.4,10.5,11.7
18 ou 19 anos,3.8,7,5.3,10.1,12.3,17.6,18 ou 19 anos,3.7,6.9,5.1,9.8,12.1,17
20 a 24 anos,2.3,4.6,3.3,6.1,6.8,8.4,20 a 24 anos,2.2,4.2,3.2,5.7,6.3,7.8
25 a 29 anos,2.1,4,3.2,4.6,6.8,7.2,25 a 29 anos,2,3.6,3.1,4.4,6.7,6.7
30 a 34 anos,2,3.9,3,4.5,6.6,5.9,30 a 34 anos,1.9,3.7,2.8,4.3,6.1,5.4
35 a 39 anos,1.7,2.9,2.5,3.8,5.7,5.7,35 a 39 anos,1.6,2.8,2.3,3.5,5.5,4.9
40 a 44 anos,1.6,3.5,2.2,3.4,4.5,5,40 a 44 anos,1.5,3.3,2.2,3.2,4.3,4.3
45 a 49 anos,1.5,3.4,2.3,2.9,4.5,4.9,45 a 49 anos,1.4,3.3,2.2,2.7,4,4.3
50 a 54 anos,1.3,3.1,2.2,2.5,3.3,4.4,50 a 54 anos,1.3,3.1,2.1,2.5,3,4
55 a 59 anos,1.4,3.7,2.4,2.4,3.4,4.4,55 a 59 anos,1.4,3.6,2.4,2.4,3.4,4.2
60 anos ou mais,0.8,2.3,1.4,1.4,2,2.7,60 anos ou mais,0.7,2.3,1.3,1.2,1.6,2.5
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
