"Tabela 1.1.16.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.16.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Trabalhadores dos serviços,1,2.6,1.9,1.7,2.7,2.6,Trabalhadores dos serviços,1,2.3,1.7,1.6,2.6,2.4
Vendedores e prestadores de serviço do comércio,1.2,3.2,2.3,2.1,3,3.5,Vendedores e prestadores de serviço do comércio,1.1,2.8,2.1,1.9,2.8,3.1
Trabalhadores agrícolas,3.6,7.2,5.8,8,7,6.3,Trabalhadores agrícolas,3.6,7.1,5.9,8.2,7.3,6.3
Trabalhadores da produção de bens e serviços e de reparação e manutenção,1,2.8,2.1,1.5,2.4,2.5,Trabalhadores da produção de bens e serviços e de reparação e manutenção,0.9,2.3,1.7,1.5,2.1,2.3
Membros das forças armadas e auxiliares,4.3,7.8,6.8,8.2,9.9,7.5,Membros das forças armadas e auxiliares,4.3,7.6,6.6,8.1,9.8,7.4
Ocupações maldefinidas,27.5,99.3,100.5,32.6,50.2,-,Ocupações maldefinidas,27.5,99.2,100.5,32.6,49.8,-
Não utilizaram,0.8,1.6,1.3,1.6,2.2,2.6,Não utilizaram,0,0,0,0,0,0
Dirigentes em geral,3.6,7.6,7.1,6.6,8.6,10,Dirigentes em geral,3.7,7.7,7,6.7,8.5,10.2
Profissionais das ciências e das artes,4.1,7.5,7.5,8.1,9.7,12.1,Profissionais das ciências e das artes,4.1,7.2,7.5,8.2,9.7,12
Técnicos de nível médio,3.2,6,5.9,6,8.6,9.9,Técnicos de nível médio,3.3,6.1,5.9,6.1,8.7,9.8
Trabalhadores de serviços administrativos,3.1,7.8,5.6,5.5,7.4,9.1,Trabalhadores de serviços administrativos,3.1,7.8,5.7,5.5,7.4,8.6
Trabalhadores dos serviços,1.1,2.5,1.9,1.9,2.6,3.1,Trabalhadores dos serviços,1.1,2.7,2.2,1.9,3.2,2.5
Vendedores e prestadores de serviço do comércio,1.7,4,2.6,3.4,5.5,5.7,Vendedores e prestadores de serviço do comércio,1.8,4.2,2.8,3.4,5.7,5.8
Trabalhadores agrícolas,2.2,4.4,3.1,6,6.7,6.9,Trabalhadores agrícolas,1.7,3.4,2.2,5,4.9,5.2
Trabalhadores da produção de bens e serviços e de reparação e manutenção,1.1,3.5,2.1,1.8,2.4,3.2,Trabalhadores da produção de bens e serviços e de reparação e manutenção,1.1,3.4,2.2,1.7,2.8,3.2
Membros das forças armadas e auxiliares,10.5,18.4,20.1,22.4,25.3,33.4,Membros das forças armadas e auxiliares,10.5,18.5,20.2,22.3,25.3,33
Ocupações maldefinidas,46.8,-,78.3,99.9,71.6,-,Ocupações maldefinidas,46.8,-,78.4,99.9,71.5,-
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
