"Tabela 1.1.19.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.19.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Mais de 5 a 10 salário mínimos,1.8,4.7,4.7,2.8,3.3,4,Mais de 5 a 10 salário mínimos,1.6,4.3,4.3,2.6,2.9,3.5
Mais de10 a 20 salário mínimos,3,8.7,7.1,4.7,6.1,6.8,Mais de10 a 20 salário mínimos,2.9,8.4,6.9,4.5,5.7,6.5
Mais de 20 salários mínimos,5.1,15.6,11.9,7.8,8.8,11.4,Mais de 20 salários mínimos,5,15.5,11.8,7.7,8.7,11.3
Não utilizaram (1),0.5,1.1,0.8,1,1.5,2,Não utilizaram (1),0,0,0,0,0,0
Sem rendimento (2),0.9,2.1,1.6,1.7,3,3.3,Sem rendimento (2),0.7,1.6,1.2,1.2,2.3,2.1
Até 1/2 salário mínimo,1.4,3.3,1.8,3.4,6,5.8,Até 1/2 salário mínimo,1.2,3,1.5,3.1,5.4,5.1
Mais de 1/2 a 1 salário mínimo,1.5,2.7,2.1,3.6,5.2,5.4,Mais de 1/2 a 1 salário mínimo,1.3,2.3,1.9,3.4,4.8,4.8
Mais de 1 a 2 salário mínimos,0.7,1.7,1.1,1.3,1.8,2.4,Mais de 1 a 2 salário mínimos,0.5,1.4,0.9,0.8,1,1.3
Mais de 2 a 3 salário mínimos,1.1,3.4,2,1.7,2.6,2.7,Mais de 2 a 3 salário mínimos,1,3.3,2.1,1.6,2.2,2.5
Mais de 3 a 5 salários mínimos,1.7,5.2,4.7,2.6,3.7,4.7,Mais de 3 a 5 salários mínimos,1.8,5.4,4.9,2.6,3.8,4.9
Mais de 5 a 10 salário mínimos,2.9,6.5,6.5,4.9,6.6,7.3,Mais de 5 a 10 salário mínimos,3,6.6,6.6,4.8,6.7,7.5
Mais de10 a 20 salário mínimos,5.8,16.3,13.6,9,13.8,14.7,Mais de10 a 20 salário mínimos,5.8,16.4,13.7,9,13.8,14.8
Mais de 20 salários mínimos,10.6,28,27,16.1,25,24.6,Mais de 20 salários mínimos,10.6,28,27,16.1,24.9,24.8
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,
