"Tabela 1.1.37.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.37.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.1.37.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
São Paulo,0.7,8,4.9,2.7,1.9,3,4.3,6.5,São Paulo,0,8,5,2.8,1.9,2.8,4.1,6.3,São Paulo,0.7,3.4,2.4,1.4,1,1.1,1,0.8
Região Metropolitana de São Paulo,0.8,9.8,6.2,3.5,2.7,4.4,6.3,8.5,Região Metropolitana de São Paulo,0,9.9,6.5,3.7,2.7,4.2,5.9,8.1,Região Metropolitana de São Paulo,0.8,3.9,2.9,1.6,1.2,1.3,1.4,0.8
Sul,1,8.1,4.6,2,1.8,2.8,4,5,Sul,0,8.2,4.7,2.1,1.5,2.6,3.6,4.6,Sul,1,5.6,2.7,1.4,1.2,1.3,1.3,0.9
Paraná,1.8,13.7,7.2,3,3.3,4.8,6.9,9.4,Paraná,0,14.2,7.6,3.5,2.7,4.2,5.9,8.7,Paraná,1.6,8.2,4.4,2.3,2,1.7,2,1.2
Região Metropolitana de Curitiba,1.7,20.8,12.1,6.3,4.5,6.8,8.9,12.8,Região Metropolitana de Curitiba,0,21.1,12.6,6.4,4.4,6.7,8.4,12.2,Região Metropolitana de Curitiba,1.6,15,6.6,3.9,2.2,2.6,1.8,1.5
Santa Catarina,1.5,24.1,12.6,5,3,5.5,8.5,10.2,Santa Catarina,0,23.9,12.9,5.3,3,5,7.9,9.8,Santa Catarina,1.4,12.3,7.4,2.3,2.2,2.5,2.1,2.5
Rio Grande do Sul,1.5,10.9,6.7,3.2,2.7,4.6,5.6,6.4,Rio Grande do Sul,0,10.8,6.8,3,2.2,4.2,5.1,6,Rio Grande do Sul,1.7,9,3.8,2.2,2.2,2.3,2.6,1.5
Região Metropolitana de Porto Alegre,1.1,10.6,7.4,3.5,2.8,4.5,5.9,7.6,Região Metropolitana de Porto Alegre,0,10.8,7.6,3.8,2.7,4.2,5.4,7.2,Região Metropolitana de Porto Alegre,1,6.9,3.4,1.8,1.6,1.9,1.6,1.2
Centro-Oeste,1.2,7.9,4.4,2.6,2.3,3.9,4.6,6.9,Centro-Oeste,0,7.9,4.6,2.6,2,3.5,4.3,6.6,Centro-Oeste,1.1,4.5,3.2,1.7,1.4,1.4,1.2,0.9
Mato Grosso do Sul,2.8,21.3,11.8,6.4,5.5,9.2,12.3,18.6,Mato Grosso do Sul,0,21.8,11.7,6.5,4.2,9.4,11.2,17.9,Mato Grosso do Sul,2.7,14.9,6.6,3.3,4,2.9,2.4,2.3
Mato Grosso,3.4,19.4,9.8,5.8,4.8,10,11.7,16.7,Mato Grosso,0,18.8,10.4,5.3,4.1,8.3,10.5,15.9,Mato Grosso,3.2,14.6,9,4.4,3.1,4.5,4.4,3.8
Goiás,1.9,11.2,6.4,3.6,3.8,6.2,7.8,12.5,Goiás,0,11.3,6.9,3.5,3,5.4,7.2,12.3,Goiás,1.9,5.2,4.3,2.8,2.3,2.1,2.3,2.3
Distrito Federal,1.5,16.5,10.2,6.5,4.6,6.7,7.6,10.3,Distrito Federal,0,16.8,10.7,7.2,4.8,6.2,6.9,9.5,Distrito Federal,1.3,9.5,4.6,2.1,1.8,2.1,1.6,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,
