"Tabela 1.1.28.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.28.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Tabela 1.1.28.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Amapá,7.7,13.8,9.6,9.7,9.2,14.5,81.7,Amapá,0,14.8,8,5.4,3.6,11.3,80.6,Amapá,6.9,14.8,11.1,6.5,4.9,2.3,31.3
Tocantins,4.9,16.5,6.4,6.2,5.3,10.7,-,Tocantins,0,13.4,5.1,4.2,3.1,9.3,-,Tocantins,4.8,17.8,6.4,6,3,2.2,-
Nordeste,1,2.7,1.4,1.4,1.4,3.2,14.8,Nordeste,0,2.5,1.3,1.3,0.8,2.8,14.9,Nordeste,1,2.9,1.2,1.1,0.7,0.6,11.4
Maranhão,5.5,11.4,7.9,6.4,5.9,11.8,60.5,Maranhão,0,9.8,4.3,3.8,2.6,10.8,61.2,Maranhão,5.4,12.5,6.7,6.1,4.4,3.5,43.8
Piauí,5,12.7,7.3,5.1,6.1,14.7,99.1,Piauí,0,11,5.2,6.3,3.2,11.5,98.3,Piauí,5,13.8,7.2,3.7,2.2,3.5,0
Ceará,2,5.5,2.8,3.4,2.6,7,29.1,Ceará,0,5.6,2.9,2.8,1.5,6.1,29.2,Ceará,1.9,5.8,2.4,2.6,1.3,1.8,23.3
Região Metropolitana de Fortaleza,1.8,7,3.5,3.4,2.8,8.1,29.1,Região Metropolitana de Fortaleza,0,7,3.5,3.2,2,7.5,29.2,Região Metropolitana de Fortaleza,1.6,7,2.7,2.4,1.2,1.4,16.1
Rio Grande do Norte,2.4,8.9,6.2,5.1,6.1,12.1,42,Rio Grande do Norte,0,9,7,5.2,4.8,11.2,41.9,Rio Grande do Norte,2.2,9.8,3.8,4.3,1.9,1.7,21.6
Paraíba,4,9.4,4.6,3.9,5.7,14.5,60.6,Paraíba,0,9,4.8,5.6,3,11.9,61.5,Paraíba,4,10.4,5.1,3.6,2.1,2,18.7
Pernambuco,2.4,6.2,3,3.1,3.2,6.8,39.6,Pernambuco,0,6.1,2.9,3.2,1.7,5.3,39.2,Pernambuco,2.5,6.7,2.9,2.4,1.5,1.4,27.1
Região Metropolitana de Recife,1.4,5.6,3.2,3.1,2.1,7.1,32.3,Região Metropolitana de Recife,0,5.7,3.4,3.2,1.7,6.4,32.2,Região Metropolitana de Recife,1.3,5,2.4,2,1,1.2,23.5
Alagoas,4,11.6,5.5,8.4,5.8,14.5,57.5,Alagoas,0,11.1,5,6.5,4.4,13.4,58.2,Alagoas,4,11.7,5.1,4.9,2.9,3,40.8
Sergipe,2.7,9.6,4.6,4.8,4.8,10.7,30.2,Sergipe,0,9.9,4.4,4.2,3.3,10,30.7,Sergipe,2.6,8.3,3.9,4,2.1,2.1,12.7
Bahia,1.7,5.3,2.5,2.6,2.5,6.2,28.6,Bahia,0,4.8,2.3,2.5,1.6,5.6,28.7,Bahia,1.7,6.1,2,1.9,1,1,30.3
Região Metropolitana de Salvador,1.2,6.2,3.3,3.4,2.2,7.7,57.7,Região Metropolitana de Salvador,0,6.3,3.7,3.7,1.7,7,57.7,Região Metropolitana de Salvador,1.1,5,2,1.8,0.8,0.7,28.9
Sudeste,0.6,2.4,1.4,1.2,0.9,2.5,16,Sudeste,0,2.4,1.3,1.2,0.7,2.3,16,Sudeste,0.5,2.3,1.1,0.7,0.4,0.3,8.6
Minas Gerais,1.6,4.5,2.6,2.3,2,4.3,24.8,Minas Gerais,0,4.3,2.1,1.9,1.2,3.6,24.8,Minas Gerais,1.6,4.9,2.3,1.5,0.9,0.6,12.6
Região Metropolitana de Belo Horizonte,1.2,7,3.2,2.8,2.1,7.2,42.7,Região Metropolitana de Belo Horizonte,0,7.2,3.5,2.9,1.9,6.5,42.8,Região Metropolitana de Belo Horizonte,1.1,5.7,2.3,1.7,0.7,0.6,19.3
Espírito Santo,2.3,8.7,5.4,4,3.7,8.6,49.2,Espírito Santo,0,8.8,5,4,2.7,8,49.7,Espírito Santo,2.4,8,4.6,2.6,1.6,1.9,28.9
Rio de Janeiro,0.9,4.3,2.9,2.3,1.7,4.7,28.1,Rio de Janeiro,0,4.3,2.9,2.4,1.5,4.3,28.2,Rio de Janeiro,0.8,3.8,1.9,1.3,0.7,0.6,15.5
Região Metropolitana do Rio de Janeiro,1,5.1,3.4,2.7,1.9,5.4,34.6,Região Metropolitana do Rio de Janeiro,0,5.2,3.4,2.8,1.7,4.9,34.7,Região Metropolitana do Rio de Janeiro,0.9,4.1,2.2,1.5,0.8,0.6,20.3
São Paulo,0.7,3.7,2.1,1.8,1.2,3.7,35.1,São Paulo,0,3.8,2,1.9,1,3.4,35.1,São Paulo,0.7,3.3,1.6,1,0.5,0.5,19.1
Região Metropolitana de São Paulo,0.8,5.1,2.8,2.7,1.6,5.1,40.4,Região Metropolitana de São Paulo,0,5.1,3,2.8,1.4,4.7,40.4,Região Metropolitana de São Paulo,0.8,4.2,2,1.3,0.7,0.5,0
Sul,1,3.3,1.8,1.8,1.5,3.1,15,Sul,0,3.3,1.9,1.7,1,2.7,14.9,Sul,1,3.3,1.7,1.1,0.6,0.5,9.1
Paraná,1.8,5.2,2.9,3.1,2.7,5.6,19.8,Paraná,0,5.3,3.2,3,1.7,4.7,19.6,Paraná,1.6,5.5,2.5,1.9,1.1,0.7,12.5
Região Metropolitana de Curitiba,1.7,7.9,5.2,4.2,2.9,7.2,36.1,Região Metropolitana de Curitiba,0,7.8,5.2,4.4,2.6,6.5,36.2,Região Metropolitana de Curitiba,1.6,7.3,3.6,2.9,1.2,0.8,14.4
Santa Catarina,1.5,7.7,3.5,3.4,2.9,6.4,27.2,Santa Catarina,0,7.9,3.8,3.7,2.1,5.7,27.2,Santa Catarina,1.4,6.1,3,2.2,1,1.1,15.5
Rio Grande do Sul,1.5,4.7,3,3,2.3,4,37.1,Rio Grande do Sul,0,4.5,3,2.4,1.6,3.5,37,Rio Grande do Sul,1.7,5.3,3.2,1.6,0.7,0.9,0
Região Metropolitana de Porto Alegre,1.1,4.9,2.8,2.5,2.2,5.2,35.3,Região Metropolitana de Porto Alegre,0,5,3,2.7,1.7,4.7,35.3,Região Metropolitana de Porto Alegre,1,4.4,2,1.4,0.7,0.7,0
Centro-Oeste,1.2,3.6,2.2,1.9,1.6,3.8,23.5,Centro-Oeste,0,3.4,2.1,1.8,1.2,3.3,23.6,Centro-Oeste,1.1,3.8,1.9,1.3,0.7,0.5,20.2
Mato Grosso do Sul,2.8,7.6,5.9,4.8,4.2,8.5,38.5,Mato Grosso do Sul,0,7.6,5,4.7,3.2,7.4,38.7,Mato Grosso do Sul,2.7,8.1,4.4,2.6,1.5,1.2,21.5
Mato Grosso,3.4,8.7,5.3,4.6,4,11.8,57.3,Mato Grosso,0,7.8,5.1,3.9,2.7,10.1,57.9,Mato Grosso,3.2,9.1,5.4,3.4,1.8,1.8,60.2
Goiás,1.9,5.9,3.1,2.8,2.6,5.7,70.5,Goiás,0,5.4,2.8,2.6,1.8,4.9,70.4,Goiás,1.9,6.7,2.9,1.9,1.2,1,50
Distrito Federal,1.5,7.3,4.3,4,2.6,6.9,39.2,Distrito Federal,0,7.5,4.9,4.4,2.4,6,39.1,Distrito Federal,1.3,6.3,2.5,2.2,0.9,0.6,16.2
,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,,,,,,,,,,(1) Inclusive as pessoas com anos de estudo não determinados.,,,,,,,
