"Tabela 1.3.22.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.22.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Pernambuco,0.4,2.8,11.1,1.5,3,11.3,Pernambuco,0,2.7,11.1,0,1.8,12.2,1.5,0.8,4.3
Alagoas,0.6,4.4,12.8,2.7,4.4,14.6,Alagoas,0,4.5,12.7,0,3.3,14.5,2.8,1.7,9.3
Sergipe,0.5,4.1,10.2,1.2,4.3,11.9,Sergipe,0,4.1,10.2,0,3.7,12.3,1.1,1.3,2.9
Bahia,0.3,2.2,6.2,1.2,2.3,7.7,Bahia,0,2.1,6.2,0,1.6,8,1.2,0.7,3.9
Sudeste,0.1,0.5,7.3,0.3,0.6,7.9,Sudeste,0,0.5,7.3,0,0.4,8,0.3,0.3,2.3
Minas Gerais,0.3,1.7,8.5,0.8,1.8,9.6,Minas Gerais,0,1.6,8.6,0,1.3,9.9,0.7,0.5,3.6
Espírito Santo,0.6,3.3,20.1,1.6,3.3,20,Espírito Santo,0,3.5,19.9,0,2.6,20.3,1.5,1.2,5.4
Rio de Janeiro,0.3,0.7,23.1,0.6,0.9,24.7,Rio de Janeiro,0,0.6,23.1,0,0.5,24.8,0.5,0.5,7.6
São Paulo,0.2,0.7,18.5,0.5,0.8,18,São Paulo,0,0.6,18.4,0,0.6,18,0.4,0.4,3.4
Sul,0.2,1.2,7.2,0.5,1.3,7.9,Sul,0,1.2,7.2,0,1.1,8,0.5,0.4,2.5
Paraná,0.4,1.9,12.7,0.9,2.1,13.5,Paraná,0,1.9,12.7,0,1.6,13.8,0.8,0.7,4.4
Santa Catarina,0.4,2.2,11.3,1.1,2.4,14,Santa Catarina,0,2.2,11.2,0,2,14,1,0.9,6
Rio Grande do Sul,0.3,2.1,12.5,0.7,2.1,13.1,Rio Grande do Sul,0,2.2,12.3,0,1.9,13.2,0.7,0.5,3.3
Centro-Oeste,0.2,1,8.4,0.5,1.1,9.1,Centro-Oeste,0,0.9,8.4,0,0.8,9.2,0.5,0.4,3
Mato Grosso do Sul,0.5,2.8,22.6,1.2,3.3,22.1,Mato Grosso do Sul,0,2.7,22.7,0,2.4,22.8,1.1,0.9,3.6
Mato Grosso,0.5,2.7,11.1,1.6,2.8,14.1,Mato Grosso,0,2.5,11.2,0,2.3,14.1,1.4,0.8,7.7
Goiás,0.4,1.3,14.2,0.8,1.5,14,Goiás,0,1.3,14.1,0,1.1,14.1,0.7,0.6,3.5
Distrito Federal,0.5,1.9,37.9,0.8,2,38.8,Distrito Federal,0,1.8,38,0,1.7,39,0.6,0.5,4.2
,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
