"Tabela 1.1.30.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.30.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.1.30.3a - Coeficientes de variação das estimativas de percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Região Metropolitana de Belém,1.7,3.8,5.3,3.8,2.8,6.4,7.7,19.2,Região Metropolitana de Belém,0,3.7,5.2,3.9,2.2,6,7,19.1,Região Metropolitana de Belém,1.6,3.4,3.5,2.2,1.4,1,1.1,7.7
Amapá,7.7,8.9,10.3,12.7,9.7,12.9,14.6,53.9,Amapá,0,7.9,8.3,8.5,4,10.3,11.7,52.9,Amapá,6.9,11.7,8.9,6.3,6.2,0.9,2.3,27.8
Tocantins,4.9,7.4,9,7.6,5.6,9,10.2,69.3,Tocantins,0,4.9,6.7,6.8,3.9,6.9,8.9,71.6,Tocantins,4.8,8.6,8,6.4,3.6,2.2,2,36.6
Nordeste,1,1.4,2.1,1.8,1.4,2.9,3.2,10.2,Nordeste,0,1.2,2,1.8,1,2.5,2.8,10.2,Nordeste,1,1.5,1.6,1.2,0.8,0.6,0.6,7
Maranhão,5.5,7.9,9.6,6,6.4,11.1,11.7,46.2,Maranhão,0,4.4,6.9,5.2,3.2,10.6,10.6,45.5,Maranhão,5.4,8.2,8.1,5.8,5,3.5,2.6,37.1
Piauí,5,6.9,9.1,8.1,5.9,14.4,14.7,99.1,Piauí,0,4.5,8.3,9.8,4.3,11.8,11.5,98.3,Piauí,5,8.2,6.4,4.2,2.7,1.6,3.5,0
Ceará,2,2.4,5.1,4.1,2.8,6.9,6.7,20.7,Ceará,0,2.6,4.7,3.7,1.9,6.2,5.9,20.5,Ceará,1.9,2.4,4.1,2.3,1.5,1.3,1.6,16.2
Região Metropolitana de Fortaleza,1.8,3.2,4.8,4.8,2.9,6.8,7.7,21.8,Região Metropolitana de Fortaleza,0,3.2,4.7,4.6,2.3,6.1,7.1,21.9,Região Metropolitana de Fortaleza,1.6,3.1,3.4,2.6,1.5,1,1.5,8.8
Rio Grande do Norte,2.4,4.7,7.7,6,6.5,9.7,12.3,39.2,Rio Grande do Norte,0,5.6,7.7,6.2,5.3,9.1,11.3,38.9,Rio Grande do Norte,2.2,3.4,5.4,4.3,2.1,1.8,1.6,13.5
Paraíba,4,4.5,6.6,6.4,5.5,10.6,14.4,40.6,Paraíba,0,4.4,7.8,7.5,4,7.9,11.7,40.7,Paraíba,4,5.8,5.6,4,2.5,1.4,2,11.7
Pernambuco,2.4,2.9,4.5,4.1,3,6.9,6.6,25.5,Pernambuco,0,2.7,4.4,4.2,1.8,5.6,5.1,25.4,Pernambuco,2.5,3.6,3.7,3,1.6,1.5,1.2,16.5
Região Metropolitana de Recife,1.4,3.1,4.4,4.3,2.2,5.8,7,24.1,Região Metropolitana de Recife,0,3.2,4.5,4.3,2,5.3,6.3,24.1,Região Metropolitana de Recife,1.3,2.6,3,2.1,1.1,1.4,1,18.9
Alagoas,4,5.6,11,10.2,6,11.3,13.4,46.4,Alagoas,0,5,8.9,9,4.6,10.2,12.5,47.4,Alagoas,4,5.6,6.8,5.1,3.7,1.9,2.9,33
Sergipe,2.7,4.4,6.1,7,5,10.3,10.6,24,Sergipe,0,4.3,5.7,6.7,3.8,9.3,9.7,24.3,Sergipe,2.6,4.1,5.6,3.6,2.2,3,2.4,10.2
Bahia,1.7,2.7,4,3.6,2.5,5.7,6.1,17.8,Bahia,0,2.3,3.8,3.6,1.8,5.1,5.5,17.5,Bahia,1.7,3,2.8,2.2,1.1,0.8,0.8,15.4
Região Metropolitana de Salvador,1.2,3.1,4.8,4.1,2.3,6,7.8,40.5,Região Metropolitana de Salvador,0,3.4,5,4.4,2,5.4,7.1,40.6,Região Metropolitana de Salvador,1.1,2.2,3,1.8,1,0.7,0.7,30.3
Sudeste,0.6,1.3,1.5,1.7,0.9,2,2.4,10.5,Sudeste,0,1.2,1.5,1.7,0.8,1.8,2.2,10.5,Sudeste,0.5,1.2,1,0.7,0.4,0.4,0.3,5
Minas Gerais,1.6,2.4,2.8,3,2,4.2,4.2,17.8,Minas Gerais,0,1.9,2.5,2.8,1.3,3.5,3.6,17.6,Minas Gerais,1.6,2.8,2,1.6,1.1,0.5,0.6,6
Região Metropolitana de Belo Horizonte,1.2,3,4.1,4,2.4,5.4,6.9,25.4,Região Metropolitana de Belo Horizonte,0,3.3,4.1,4.1,2.4,4.9,6.2,25.5,Região Metropolitana de Belo Horizonte,1.1,2.4,2.5,1.6,0.9,0.5,0.6,7.9
Espírito Santo,2.3,5,5.1,5.9,3.9,7.4,8.5,30.1,Espírito Santo,0,4.7,5.3,5.6,2.9,6.5,8,30.2,Espírito Santo,2.4,5,3.7,2.7,1.8,1.9,1.7,11
Rio de Janeiro,0.9,2.7,3.2,3.2,1.8,4.2,4.7,19.7,Rio de Janeiro,0,2.7,3.2,3.2,1.7,4,4.3,19.7,Rio de Janeiro,0.8,2,2,1.3,0.8,0.7,0.6,8.4
Região Metropolitana do Rio de Janeiro,1,3.2,3.9,3.5,2,4.6,5.5,25.7,Região Metropolitana do Rio de Janeiro,0,3.2,3.9,3.7,1.9,4.4,5,25.7,Região Metropolitana do Rio de Janeiro,0.9,2.3,2.3,1.4,0.9,0.7,0.6,12.6
São Paulo,0.7,2,2.2,2.6,1.3,2.9,3.5,19.5,São Paulo,0,2,2.3,2.6,1.2,2.7,3.2,19.5,São Paulo,0.7,1.7,1.4,0.9,0.6,0.6,0.4,11.2
Região Metropolitana de São Paulo,0.8,2.6,3.4,3.7,1.7,4.2,4.7,37.5,Região Metropolitana de São Paulo,0,2.7,3.6,3.8,1.8,4,4.3,37.5,Região Metropolitana de São Paulo,0.8,1.9,2,1.4,0.8,0.7,0.5,13.4
Sul,1,1.8,2.3,2.5,1.6,3.1,3.1,10.4,Sul,0,1.8,2.2,2.5,1.2,2.7,2.7,10.3,Sul,1,1.9,1.5,1.1,0.7,0.6,0.4,4.2
Paraná,1.8,2.8,3.8,4.1,2.7,5.3,5.4,14.6,Paraná,0,3.1,3.7,4.2,2,4.4,4.5,14.4,Paraná,1.6,2.9,2.8,1.9,1.3,1.2,0.7,7.3
Região Metropolitana de Curitiba,1.7,4.8,5.8,5.2,3.3,6.4,6.8,24.4,Região Metropolitana de Curitiba,0,4.8,5.8,5.3,3.1,5.9,6,24.4,Região Metropolitana de Curitiba,1.6,4,4,3.2,1.4,0.8,0.8,10.3
Santa Catarina,1.5,3.4,4.2,5.1,2.9,6.8,6.5,19.3,Santa Catarina,0,3.7,4.4,5.5,2.4,6.1,5.8,19.1,Santa Catarina,1.4,2.8,3.2,2.3,1.2,1.1,1.1,5.9
Rio Grande do Sul,1.5,2.9,3.9,3.9,2.5,4.5,4.1,19.2,Rio Grande do Sul,0,2.9,3.4,3.6,1.9,4,3.7,19.2,Rio Grande do Sul,1.7,3.4,2.2,1.7,0.9,0.9,0.7,5.1
Região Metropolitana de Porto Alegre,1.1,2.5,3.4,3.8,2.3,4.4,5.3,19.6,Região Metropolitana de Porto Alegre,0,2.8,3.6,3.8,2,3.9,4.8,19.6,Região Metropolitana de Porto Alegre,1,2,2.1,1.5,0.8,0.8,0.7,4.7
Centro-Oeste,1.2,2,2.7,2.5,1.7,3.1,3.7,13.8,Centro-Oeste,0,1.8,2.6,2.5,1.4,2.7,3.2,13.7,Centro-Oeste,1.1,2.2,1.8,1.4,0.9,0.6,0.5,9.6
Mato Grosso do Sul,2.8,5.6,6.4,6.3,4.4,7.8,7.8,26.1,Mato Grosso do Sul,0,4.8,6.7,6,3.7,6.5,6.9,25.7,Mato Grosso do Sul,2.7,5.5,3.7,2.8,1.9,0.9,1.1,15.4
Mato Grosso,3.4,5.2,6.3,5.5,3.8,8.5,11.8,29.8,Mato Grosso,0,4.6,6.1,4.7,2.9,7.5,10,30.2,Mato Grosso,3.2,5.6,4.1,4.4,2,1.7,1.6,31.8
Goiás,1.9,2.8,4,3.9,2.8,4.9,5.7,25.5,Goiás,0,2.3,3.6,3.9,2.1,4.5,4.9,25.2,Goiás,1.9,3.3,3,1.8,1.5,1.1,0.9,13.1
Distrito Federal,1.5,3.8,5.7,5.1,3,5.3,6.7,27.4,Distrito Federal,0,4.4,5.9,5.5,3.2,4.6,5.8,27.4,Distrito Federal,1.3,2.8,3.4,1.9,1.1,0.7,0.5,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
,,,,,,,,,,,,,,,,,,(1) Inclusive as pessoas com nível de instrução não determinado.,,,,,,,,
