"Tabela 1.3.15.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.15.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Empregado e trabalhador doméstico,0.4,1.3,1.1,0.6,1.1,1,Empregado e trabalhador doméstico,0.3,0.9,0.6,0.4,0.7,0.7
Com carteira de trabalho assinada,0.6,2.1,1.6,0.9,1.5,1.5,Com carteira de trabalho assinada,0.5,1.8,1.2,0.8,1.2,1.3
Militar e funcionário público estatutário,1.4,3.2,2.6,2.4,3.2,3.4,Militar e funcionário público estatutário,1.3,2.9,2.5,2.4,3.1,3.2
Outro sem carteira de trabalho assinada,0.8,2,1.5,1.5,2.1,2.2,Outro sem carteira de trabalho assinada,0.8,1.8,1.3,1.4,2.1,2.2
Empregado,0.5,1.4,1.1,0.7,1.1,1.1,Empregado,0.3,0.9,0.7,0.5,0.8,0.8
Com carteira de trabalho assinada,0.6,2.1,1.6,0.9,1.5,1.5,Com carteira de trabalho assinada,0.5,1.8,1.3,0.8,1.2,1.4
Militar e funcionário público estatutário,1.4,3.2,2.6,2.4,3.2,3.4,Militar e funcionário público estatutário,1.3,2.9,2.5,2.4,3.1,3.2
Outro sem carteira de trabalho assinada,0.9,2.2,1.6,1.7,2.5,2.6,Outro sem carteira de trabalho assinada,0.9,2,1.5,1.7,2.4,2.6
Conta própria,0.7,1.9,1.4,1.2,1.9,2.3,Conta própria,0.7,1.6,1.3,1.1,1.9,2.1
Empregador,2.2,5.9,5,3.6,4.5,5.3,Empregador,2.1,5.7,4.7,3.5,4.3,5.1
Não remunerado,3.2,8,4.7,7.3,7.8,8.5,Não remunerado,3.1,7.6,4.6,7.3,7.6,8.4
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4.2,9.1,6.7,8.5,11.5,12.5,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4.2,8.9,6.7,8.4,11.3,12.4
Não possuíam,1.5,3.3,2.4,2.8,4.2,5.8,Não possuíam,0,0,0,0,0,0
Empregado e trabalhador doméstico,1.5,3.8,2.4,2.8,4.1,5.8,Empregado e trabalhador doméstico,1.3,3.3,2.2,2.1,4.2,3.2
Com carteira de trabalho assinada,2.2,5.9,4.7,3.3,5,7.2,Com carteira de trabalho assinada,2.2,5.9,4.7,3.5,5.2,6.1
Militar e funcionário público estatutário,5.4,12.3,9.5,10.1,13.9,18.1,Militar e funcionário público estatutário,5.2,12.4,9,9.8,13.8,18
Outro sem carteira de trabalho assinada,2,4.4,2.7,4.5,7,8.3,Outro sem carteira de trabalho assinada,1.7,3.7,2.6,3.3,7,5.9
Empregado,1.6,4.2,2.7,3,4.6,6.2,Empregado,1.4,3.5,2.3,2.3,4.5,4.1
Com carteira de trabalho assinada,2.3,6.3,4.9,3.5,5.3,7.4,Com carteira de trabalho assinada,2.3,6.2,4.9,3.7,5.3,6.4
Militar e funcionário público estatutário,5.4,12.3,9.5,10.1,13.9,18.1,Militar e funcionário público estatutário,5.2,12.4,9,9.8,13.8,18
Outro sem carteira de trabalho assinada,2.3,5.1,3.1,5.5,9,9.8,Outro sem carteira de trabalho assinada,1.9,4.2,2.7,4.3,8.8,7.8
Conta própria,2.2,5.9,3.3,3.8,7.4,7.7,Conta própria,1.6,4.3,2.6,2.8,4.9,4.7
Empregador,7.5,16.4,13.4,13.6,19.3,26.1,Empregador,7.4,15.4,13.4,13.7,18.4,26.1
Não remunerado,5.3,9.2,8.8,14.2,13.7,16.7,Não remunerado,4.9,8.4,8.3,13.2,11.8,15.3
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4.7,12.3,6.8,10.5,10.4,15.3,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4.1,11.8,5.6,9,8.8,12.4
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
