"Tabela 1.3.24.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.3.24.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.3.24.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Pernambuco,1.5,2.2,3.8,3,2.5,6.3,6.3,17.4,Pernambuco,0,2.1,3.8,3.2,1.7,5.6,5.5,17.1,Pernambuco,1.5,2.5,1.4,1.5,0.5,0.6,0.6,6.3
Região Metropolitana de Recife,0.7,2.3,3.6,3.9,2,5.4,6.7,23,Região Metropolitana de Recife,0,2.4,3.7,3.9,1.9,5.2,6.5,23,Região Metropolitana de Recife,0.6,1.3,1.4,0.9,0.4,0.6,0.5,8.3
Alagoas,2.7,4.1,9.7,9.3,4.8,10.7,12.9,56.2,Alagoas,0,3.3,8.3,7.5,4.7,10.7,12.7,56.6,Alagoas,2.8,3.8,5,2.6,1.8,1.3,2,12.1
Sergipe,1.2,2.6,4.1,5.9,4.2,9.4,9.9,21.5,Sergipe,0,2.8,3.9,5.8,3.8,9.1,9.5,21.5,Sergipe,1.1,1.6,2.1,1.4,0.9,1,1,6.3
Bahia,1.2,2,3.2,3.1,2.3,5.6,6,17.8,Bahia,0,1.7,3,3.2,1.8,5.4,5.7,17.5,Bahia,1.2,1.9,1.8,1.2,0.7,0.5,0.6,9.7
Região Metropolitana de Salvador,0.7,2.8,4.1,3.9,2,5.9,7.7,34.3,Região Metropolitana de Salvador,0,3,4.3,4.1,1.9,5.6,7.4,34.3,Região Metropolitana de Salvador,0.6,1.3,1.3,0.9,0.4,0.4,0.3,9.6
Sudeste,0.3,1,1.3,1.7,0.9,2,2.3,10.6,Sudeste,0,1,1.3,1.6,0.8,1.9,2.3,10.6,Sudeste,0.3,0.6,0.5,0.5,0.2,0.3,0.2,2.6
Minas Gerais,0.8,1.4,2,2.8,1.6,4.1,4.1,16.8,Minas Gerais,0,1.4,2,2.6,1.3,3.8,3.8,16.7,Minas Gerais,0.7,1.2,0.9,0.9,0.4,0.4,0.4,2.2
Região Metropolitana de Belo Horizonte,0.7,2.4,3.4,3.9,2.2,5.4,6.9,22.9,Região Metropolitana de Belo Horizonte,0,2.6,3.4,3.9,2.2,5.1,6.5,22.9,Região Metropolitana de Belo Horizonte,0.6,1.2,1,0.7,0.4,0.4,0.4,0
Espírito Santo,1.6,3,4.9,5.6,3.6,7.2,8.4,29.8,Espírito Santo,0,3.1,4.8,5.2,3.1,6.7,8.1,29.9,Espírito Santo,1.5,2.5,2.7,1.9,0.7,0.9,0.6,11
Rio de Janeiro,0.6,2.1,2.6,3.1,1.7,4.2,4.6,19,Rio de Janeiro,0,2.2,2.7,3.1,1.6,4,4.4,19,Rio de Janeiro,0.5,1.1,0.9,0.7,0.4,0.5,0.4,6.3
Região Metropolitana do Rio de Janeiro,0.7,2.6,3.2,3.5,1.9,4.6,5.3,25.2,Região Metropolitana do Rio de Janeiro,0,2.7,3.3,3.6,1.8,4.4,5,25.2,Região Metropolitana do Rio de Janeiro,0.6,1.4,1.1,0.8,0.5,0.6,0.4,10.7
São Paulo,0.5,1.6,2.1,2.6,1.3,2.8,3.4,20.3,São Paulo,0,1.6,2.2,2.6,1.2,2.7,3.3,20.3,São Paulo,0.4,1,0.8,0.8,0.3,0.4,0.3,5.5
Região Metropolitana de São Paulo,0.6,2.2,3.2,3.6,1.6,4.2,4.7,37.4,Região Metropolitana de São Paulo,0,2.3,3.3,3.7,1.6,4.1,4.5,37.5,Região Metropolitana de São Paulo,0.5,1.3,1.2,1,0.5,0.4,0.3,13.4
Sul,0.5,1.5,1.9,2.3,1.4,3,3,9.4,Sul,0,1.5,1.8,2.3,1.3,2.7,2.8,9.4,Sul,0.5,0.9,0.8,0.6,0.3,0.3,0.3,2.3
Paraná,0.9,2.6,2.9,3.6,2.3,5.2,5.3,12.8,Paraná,0,2.8,2.7,3.5,2.2,4.7,4.9,12.7,Paraná,0.8,1.4,1.6,1,0.6,0.7,0.4,3.2
Região Metropolitana de Curitiba,0.9,3.6,4.7,4.9,2.9,6.3,6.6,25.4,Região Metropolitana de Curitiba,0,3.7,4.7,4.9,2.9,6.1,6.3,25.4,Região Metropolitana de Curitiba,0.8,1.9,1.9,1.4,0.7,0.8,0.4,5.6
Santa Catarina,1.1,3.8,4.1,5,2.5,6.6,6.3,17.7,Santa Catarina,0,3.6,3.9,5.2,2.4,6,6.1,17.6,Santa Catarina,1,2.3,1.7,1.7,0.7,0.5,0.6,4
Rio Grande do Sul,0.7,2,3.1,3.8,2.3,4.3,4,19.2,Rio Grande do Sul,0,2.2,3,3.6,2.1,4.1,3.8,19.2,Rio Grande do Sul,0.7,1.3,0.8,0.7,0.4,0.5,0.4,5.1
Região Metropolitana de Porto Alegre,0.6,2.1,2.9,3.5,2.2,4.3,5.2,19.6,Região Metropolitana de Porto Alegre,0,2.2,3,3.4,2,4.1,5,19.5,Região Metropolitana de Porto Alegre,0.5,1,0.9,0.7,0.5,0.4,0.3,4.7
Centro-Oeste,0.5,1.5,2.1,2.3,1.4,3,3.6,14,Centro-Oeste,0,1.5,2.2,2.3,1.3,2.9,3.5,14.1,Centro-Oeste,0.5,0.9,0.7,0.6,0.3,0.3,0.2,3.1
Mato Grosso do Sul,1.2,2.8,5.4,5.5,3.9,7.8,7.8,29.4,Mato Grosso do Sul,0,3.1,5.8,5.5,3.5,7.1,7.2,29.1,Mato Grosso do Sul,1.1,2.1,1.5,1.3,0.4,0.6,0.5,6.7
Mato Grosso,1.6,4.2,4.8,4.4,3.4,8.1,11.2,28.2,Mato Grosso,0,4.3,4.6,3.9,2.8,7.9,10.7,29,Mato Grosso,1.4,2.7,2.1,1.6,1,0.8,0.4,4.1
Goiás,0.8,2.1,3.1,3.7,2.2,4.9,5.4,25.1,Goiás,0,2.1,3.1,3.7,2,4.5,5.2,24.9,Goiás,0.7,1.3,1,0.9,0.5,0.5,0.4,6.4
Distrito Federal,0.8,3.8,5.1,5,2.8,5.2,6.7,28.4,Distrito Federal,0,4.2,5.4,5.1,2.9,4.8,6.2,28.4,Distrito Federal,0.6,1.4,1.2,1,0.5,0.4,0.2,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
,,,,,,,,,,,,,,,,,,(1) Inclusive as pessoas com nível de instrução não determinado.,,,,,,,,
