"Tabela 1.3.4.1a - Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.4.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.3.4.3a - Coeficientes de variação das estimativas de percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
4 a 7 anos,0.8,2.2,1.4,1.3,2,2.1,4 a 7 anos,0.7,1.8,1.2,1.3,1.9,2,4 a 7 anos,0.5,1.8,1.1,0.7,1,0.9
8 a 10 anos,0.8,2.2,1.6,1.3,1.8,2,8 a 10 anos,0.7,2,1.4,1.2,1.7,1.8,8 a 10 anos,0.3,1.4,0.8,0.5,0.7,0.7
11 a 14 anos,0.7,1.7,1.4,1,1.5,1.8,11 a 14 anos,0.6,1.3,1.1,0.9,1.4,1.6,11 a 14 anos,0.2,0.6,0.4,0.2,0.3,0.3
15 anos ou mais,1.8,4.4,3.8,2.8,3.4,4.2,15 anos ou mais,1.7,4.3,3.7,2.7,3.3,4.2,15 anos ou mais,0.2,0.7,0.5,0.3,0.4,0.3
Não determinados,9,18.2,16.6,20,16.9,31.8,Não determinados,8.9,18.2,16.5,20,16.9,31.8,Não determinados,4,12.5,8.9,5.4,4.1,8.6
Mulheres,0.3,1.1,0.8,0.4,0.7,0.7,Mulheres,0,0,0,0,0,0,Mulheres,0.2,0.9,0.7,0.3,0.6,0.5
Sem instrução e menos de 1 ano,1.8,4.5,2.8,3.5,5.4,4.6,Sem instrução e menos de 1 ano,1.8,4.5,2.8,3.6,5.5,4.6,Sem instrução e menos de 1 ano,1.3,3.6,2.4,2.5,3.1,3
1 a 3 anos,1.3,3.4,2.4,2.3,3.4,4.1,1 a 3 anos,1.3,3.4,2.3,2.4,3.4,4.1,1 a 3 anos,1,2.8,2,1.6,2.4,2.3
4 a 7 anos,0.7,2.1,1.4,1.3,1.7,2.1,4 a 7 anos,0.7,1.8,1.2,1.2,1.7,2.1,4 a 7 anos,0.5,1.7,1,0.7,1,0.9
8 a 10 anos,0.8,1.9,1.6,1.3,1.9,2.2,8 a 10 anos,0.7,1.7,1.4,1.3,1.7,2.2,8 a 10 anos,0.3,1,0.7,0.5,0.7,0.6
11 a 14 anos,0.6,1.6,1.3,0.9,1.5,1.6,11 a 14 anos,0.5,1.2,0.9,0.8,1.3,1.4,11 a 14 anos,0.2,0.6,0.4,0.2,0.4,0.3
15 anos ou mais,1.5,3.5,3,2.4,3,3.7,15 anos ou mais,1.4,3.3,2.8,2.3,2.8,3.4,15 anos ou mais,0.2,0.7,0.4,0.3,0.4,0.3
Não determinados,9,19.1,16.2,21.2,18.5,25.3,Não determinados,9,19.2,16.2,21.3,18.5,25.4,Não determinados,4.8,17,9,9.7,6.8,7.5
,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
